,Unnamed: 0,comment
53,53,Raja mulyono yang menciptakan parcok
54,54,"masih percaya pada kecurangan oknum , yang menggerakkan tangan - tangan oknum yang melakukan intimidasi kepada pemilih & bagi - bagi bungkusan / amplop .

mereka bakar duit di awal & mencekik setelah jadi , akhirnya rakyat jadi korban kebijakan penguasa , rakyat yang menderita .

video ini secara tidak langsung membongkar cara kecurangan mereka dalam berpolitik untuk mengalahkan Anies , pelan - pelan terbuka sedikit demi sedikit , inilah kenyataannya politik kotor ."
55,55,Makin mantab konten bocor alus 👍👍
56,56,Ini buka2an asli saya suka daripada di tv lain gak open
57,57,Suara mbak nya manis
58,58,"klu ekonomi memburuk, rakyat sdh jenuh, kemungkinan Anies Presiden2029"
59,59,Pdip selama masih di pegang mbah uti.. Maaf ya.. Jawa tengah bukan kandang anda..
60,60,Jakarta menyala.
61,61,"Lagi lagi polisi semakin hancur nama polisi ,"
62,62,A
63,63,Thanks!
64,64,"Pak harto ajah 32 thn berkuasa,tumbang apa lg jokowi."
65,65,Pak prabowo..tolong tunjukkan dirimu.jgn mau disetir sama mantan...jgn keceeakan kami dong pak prabowo...
66,66,"Berkloborasi dg pdip hatihati, dl sj prabowo pernah diprank, ingat perjajian batutulis jd kl anis mengharapkn perahu di 2029 nnt......?"
67,67,"Nyekel kades banyak jadjnya,penting duit"
68,68,Dan akhirnya di 27 november Jokowi KO di jakarta
69,69,Bocor halus mantap
70,70,Mkulyono sebagai faktor pengurang di Jakarta. Sebuah rangkaian kata yang sangat Indah..
71,71,Muliyono memang gk ada malu dia kira masyarakat jakarta mau memilih manusia yg di endorse nya.j
72,72,Busettttt bisa se detail itu yak..... Jurnalis memang kuat.... 😮
73,73,Setuju dgn TEMPO🤝👍
74,74,"Aduhhhh,  luar biasa kejahatan ini, cara cara mencegal lawan politik,   mohon Rakyat menyadari ketamakan, kerakusan untuk mempertahankan Kekuasaan,   Rakyat Indonesia Bersatulah,  mari kita Selamatkan DEMOKRASI INDONESIA."
75,75,᥆ᥲᥣᥲһ 𝗍ᥱm⍴᥆..
76,76,2029 pdip akn hancur krn ulah nya sendiri krn sampe skrg dpr yg di komandoi mbak puan maharani yg tdk berpihak pd rakyat dn sampe skrg blm mensahkan ruu perampasan aset bagi para koruptor² yg tlh bxk sengsarakan rakyat...
77,77,P prabowo gk usah nuruti mulyono cawe cawe biar bapak jaga kewibawaan bapak sebagai pemimpin ini rakyat udah agak gk percaya pda bapak lo
78,78,"ALHAMDULILLAH,  BILA BENAR ABAH DI 2029 DI DUKUNG PDIP."
79,79,Jakarta bukan lah orang Jawa Tengah yang selalu manut sana jokowi jakarta orang pintar
80,80,"Ke depan Jangan ada Presiden RI yang levelnya dibawah Prabowo, Sby, Sukarno, Hbibi,  Gisdur. kita ingin presiden  yg tdk malu maluin di kancah internasional. bukan hanya kelas pasar tradisional dan pencintraan di dalam negeri masuk gorong2"
81,81,"UU pemilu harus dipertegas, Presiden tidak boleh kampanya karena Presiden mengayomi seluruh rakyat. kecuali petahana."
82,82,Terlalu mengagungkan ..padahal itu cuma kebetulan...kelihatan sekali keberpihakan nya kepada seseorang yg rekam jejak nya sangat jelek..
83,83,"Di PULAU JAWA ITU TERLALU RAMAI BER MENTAL SEDEKAH.
SEHINGA PEMIMPIN ITU DI KIRA RAKYAT JAWA ITU YG BAGI BAGI SEMBAKO."
84,84,Saya pendukung tegak lurus PDIP yg siap dukung Anis capres 2029 yg setuju
85,85,Ayo PDIP majikan Anis 2029
86,86,"Di Putaran ke 2 nanti..
Suara 01 yg 40,4% akan ""disulap"" menjadi lebih 50% yaitu diambilkan Suara dari 02 yg direkayasa dapat 10,6%....
Tapi,, suara 03 yg 49,49% bisa bertambah diatas 50%
Jika masAnies memberikan instruksi ke Anak Abah yg sebelumnya memilih GOLPUT atau GERCOK
Untuk memberikan suaranya kepada Pramono-Rano..."
87,87,"bahas pilkada banten dong , kayanya seru"
88,88,Purbalingga hadir ikut pak jokowi
89,89,Lunturnya RAJA JAWA di ibukota yg dihempaskan 😅😅😅
90,90,Knp tempo kayak kebakaran jenggot 😅😅😅😅 mau membela partai Dinasti Indonesia perjuangan itu ya😅😅😅
91,91,Mas pram : oke alhamdulillah.
92,92,"Saya seneng berita tempo dari dulu sampai sekarang udah jadi kake kake ,dulu koran"
93,93,Partai coklat 😅😅
94,94,Tangkap pemilik akun fufufafa yg TDK bermoral itu
95,95,"ekspresi uncle ""hah 58%"""
96,96,Mereka ini bahas opo seh??
97,97,"Kasihan lihat penduduk jawa tengah selalu mudah di bodoh""in si mulyono. miris lihat penduduk jawa tengah,di kasih bansos tergirang girang,nggak tau kalau bansos itu apa"
98,98,Host ga netral
99,99,P.Anis...ok..
100,100,Tim senyap =  hasil perolehan suara andika yg senyap. Bocir alus perlu sinau lagi
101,101,Kacian tu Mulyono. Gagal nipu di jakarta.😂😂😂
102,102,Nyimak we ah menurut sy tanpa ad campur tangan pk jokowi engak ngaruh da solo kn terdiri dri beberapa wilayah pasti beda2 piihan ya kn.
103,103,Jokowi malah ikut kampanye kok lutfi malah menang telak. Bocor alus perlu sinau lagi
104,104,Lutfi representasi siapa? Golkar? Tim bocor alus perlu sinau lagi
105,105,"Nyungsepppp 
Jokowi dilawan"
